1,Infosys Ltd.,INFY
2,Mahindra & Mahindra Ltd.,M&M
3,Tech Mahindra Ltd.,TECHM
4,HDFC Bank Ltd.,HDFCBANK
5,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
6,Marico Ltd.,MARICO
7,Tata Consumer Products Ltd.,TATACONSUM
8,Tata Consultancy Services Ltd.,TCS
9,Larsen & Toubro Infotech Ltd.,LTIM
10,Dr. Reddy's Laboratories Ltd.,DRREDDY
11,Kansai Nerolac Paints Ltd.,KANSAINER
12,UltraTech Cement Ltd.,ULTRACEMCO
13,Larsen & Toubro Ltd.,LT
14,Ambuja Cements Ltd.,AMBUJACEM
15,ITC Ltd.,ITC
16,Hindustan Zinc Ltd.,HINDZINC
17,Asian Paints Ltd.,ASIANPAINT
18,Wipro Ltd.,WIPRO
19,ICICI Lombard General Insurance Company Ltd.,ICICIGI
20,Havells India Ltd.,HAVELLS
21,Info Edge (India) Ltd.,NAUKRI
22,Cipla Ltd.,CIPLA
23,Godrej Consumer Products Ltd.,GODREJCP
24,Tata Steel Ltd.,TATASTEEL
25,Hindalco Industries Ltd.,HINDALCO
26,Maruti Suzuki India Ltd.,MARUTI
27,Adani Transmission Ltd.,ADANITRANS
28,Titan Company Ltd.,TITAN
29,HCL Technologies Ltd.,HCLTECH
30,Page Industries Ltd.,PAGEIND
31,PI Industries Ltd.,PIIND
32,ACC Ltd.,ACC
33,Hero MotoCorp Ltd.,HEROMOTOCO
34,Dabur India Ltd.,DABUR
35,Tata Motors Ltd.,TATAMOTORS
36,Shree Cement Ltd.,SHREECEM
37,Eicher Motors Ltd.,EICHERMOT
38,Nestle India Ltd.,NESTLEIND
39,Biocon Ltd.,BIOCON
40,Divi's Laboratories Ltd.,DIVISLAB
41,JSW Steel Ltd.,JSWSTEEL
42,Piramal Enterprises Ltd.,PEL
43,HDFC Bank Ltd.,HDFCBANK
44,IndusInd Bank Ltd.,INDUSINDBK
45,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
46,Whirlpool of India Ltd.,WHIRLPOOL
47,Axis Bank Ltd.,AXISBANK
48,Hindustan Unilever Ltd.,HINDUNILVR
49,Grasim Industries Ltd.,GRASIM
50,Vedanta Ltd.,VEDL
51,Colgate Palmolive (India) Ltd.,COLPAL
52,Bharti Airtel Ltd.,BHARTIARTL
53,HDFC Asset Management Company Ltd.,HDFCAMC
54,Trent Ltd.,TRENT
55,Adani Green Energy Ltd.,ADANIGREEN
56,Berger Paints India Ltd.,BERGEPAINT
57,United Breweries Ltd.,UBL
58,UPL Ltd.,UPL
59,3M India Ltd.,3MINDIA
60,Indus Tower Ltd.,INDUSTOWER
61,Oracle Financial Services Software Ltd.,OFSS
62,Procter & Gamble Hygiene & Health Care Ltd.,PGHH
63,United Spirits Ltd.,MCDOWELL-N
64,HDFC Life Insurance Co. Ltd.,HDFCLIFE
65,Siemens Ltd.,SIEMENS
66,Reliance Industries Ltd.,RELIANCE
67,Torrent Pharmaceuticals Ltd.,TORNTPHARM
68,Jubilant Foodworks Ltd.,JUBLFOOD
69,Pfizer Ltd.,PFIZER
70,Avenue Supermarts Ltd.,DMART
71,Bajaj Finserv Ltd.,BAJAJFINSV
72,Aurobindo Pharma Ltd.,AUROPHARMA
73,Cadila Healthcare Ltd.,ZYDUSLIFE
74,Bosch Ltd.,BOSCHLTD
75,Alkem Laboratories Ltd.,ALKEM
76,Bajaj Auto Ltd.,BAJAJ-AUTO
77,Abbott India Ltd.,ABBOTINDIA
78,DLF Ltd.,DLF
79,IPCA Laboratories Ltd.,IPCALAB
80,ABB India Ltd.,ABB
81,Lupin Ltd.,LUPIN
82,InterGlobe Aviation Ltd.,INDIGO
83,Britannia Industries Ltd.,BRITANNIA
84,ICICI Bank Ltd.,ICICIBANK
85,Pidilite Industries Ltd.,PIDILITIND
86,Muthoot Finance Ltd.,MUTHOOTFIN
87,Bajaj Finance Ltd.,BAJFINANCE
88,Honeywell Automation India Ltd.,HONAUT
89,Gillette India Ltd.,GILLETTE
90,Motherson Sumi Systems Ltd.,MOTHERSON
91,Indraprastha Gas Ltd.,IGL
92,Sun Pharmaceutical Industries Ltd.,SUNPHARMA
93,MRF Ltd.,MRF
94,Kotak Mahindra Bank Ltd.,KOTAKBANK
95,Yes Bank Ltd.,YESBANK
96,Rajesh Exports Ltd.,RAJESHEXPO
97,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
98,GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO
99,Bandhan Bank Ltd.,BANDHANBNK
100,IDBI Bank Ltd.,IDBI
